model_name,MAE,RMSE,R2_score,training_time_seconds
Linear Regression,31796.984518295427,83627.19070887068,0.3197834172388285,0.0010581016540527344
Random Forest,26902.710243902435,76143.25301439672,0.4360831734347955,0.06652975082397461
XGBoost,26766.564688048773,78684.7644937264,0.3978100568548485,
Prophet (Global),3720210.3295763824,5503791.683455884,-0.6176924708737126,
