country_code,region,year,cholera_cases
COM,Africa,2008,4.0
CUB,Americas,2012,417.0
CUB,Americas,2013,181.0
CUB,Americas,2014,76.0
CUB,Americas,2015,65.0
CZE,Europe,2002,2.0
DEU,Europe,2000,2.0
DEU,Europe,2001,1.0
DEU,Europe,2002,1.0
DEU,Europe,2003,1.0
DEU,Europe,2004,3.0
DEU,Europe,2006,1.0
DEU,Europe,2007,2.0
DEU,Europe,2010,4.0
DEU,Europe,2011,4.0
DEU,Europe,2014,1.0
DEU,Europe,2016,1.0
DJI,Eastern Mediterranean,2000,1828.0
DJI,Eastern Mediterranean,2007,1087.0
DJI,Eastern Mediterranean,2010,2047.0
DJI,Eastern Mediterranean,2011,127.0
DNK,Europe,2004,1.0
DNK,Europe,2008,1.0
DNK,Europe,2016,1.0
DOM,Americas,2010,191.0
DOM,Americas,2011,20851.0
DOM,Americas,2012,7919.0
DOM,Americas,2013,1954.0
DOM,Americas,2014,603.0
DOM,Americas,2015,546.0
DOM,Americas,2016,1159.0
ECU,Americas,2000,27.0
ECU,Americas,2001,9.0
ECU,Americas,2003,25.0
ECU,Americas,2004,5.0
ERI,Africa,2007,119.0
ERI,Africa,2008,1.0
ESP,Europe,2001,1.0
ESP,Europe,2002,1.0
ESP,Europe,2006,2.0
ESP,Europe,2007,2.0
ESP,Europe,2008,5.0
ESP,Europe,2015,2.0
ETH,Africa,2004,16.0
ETH,Africa,2006,54070.0
ETH,Africa,2007,24121.0
ETH,Africa,2008,3862.0
ETH,Africa,2009,31509.0
ETH,Africa,2010,1682.0
FIN,Europe,2005,1.0
FIN,Europe,2008,1.0
FRA,Europe,2000,5.0
FRA,Europe,2001,2.0
FRA,Europe,2002,1.0
FRA,Europe,2006,2.0
FRA,Europe,2007,4.0
FRA,Europe,2008,2.0
FRA,Europe,2009,1.0
FRA,Europe,2011,1.0
FRA,Europe,2014,1.0
FRA,Europe,2015,1.0
FSM,Western Pacific,2000,3452.0
FSM,Western Pacific,2001,14.0
GAB,Africa,2002,6.0
GAB,Africa,2003,629.0
GAB,Africa,2008,2.0
GBR,Europe,2000,33.0
GBR,Europe,2003,9.0
GBR,Europe,2004,13.0
GBR,Europe,2006,49.0
GBR,Europe,2007,32.0
GBR,Europe,2008,8.0
GBR,Europe,2009,16.0
GBR,Europe,2010,8.0
GBR,Europe,2011,32.0
GBR,Europe,2012,17.0
GBR,Europe,2013,6.0
GBR,Europe,2014,14.0
GBR,Europe,2015,15.0
GBR,Europe,2016,19.0
GHA,Africa,2000,3331.0
GHA,Africa,2001,5487.0
GHA,Africa,2002,3614.0
GHA,Africa,2003,204.0
GHA,Africa,2004,407.0
GHA,Africa,2005,3166.0
GHA,Africa,2006,3357.0
GHA,Africa,2007,179.0
GHA,Africa,2008,1223.0
GHA,Africa,2009,1294.0
GHA,Africa,2010,438.0
GHA,Africa,2011,10628.0
GHA,Africa,2012,9548.0
GHA,Africa,2013,50.0
GHA,Africa,2014,28944.0
GHA,Africa,2015,692.0
GHA,Africa,2016,175.0
GIN,Africa,2000,519.0
GIN,Africa,2001,392.0
GIN,Africa,2002,61.0
GIN,Africa,2003,6.0
GIN,Africa,2004,1516.0
GIN,Africa,2005,3821.0
GIN,Africa,2006,3242.0
GIN,Africa,2007,8546.0
GIN,Africa,2008,513.0
GIN,Africa,2009,42.0
GIN,Africa,2011,3.0
GIN,Africa,2012,7350.0
GIN,Africa,2013,319.0
GIN,Africa,2014,1.0
GMB,Africa,2005,214.0
GMB,Africa,2007,12.0
GMB,Africa,2008,1.0
GNB,Africa,2002,842.0
GNB,Africa,2003,290.0
GNB,Africa,2004,155.0
GNB,Africa,2005,25111.0
GNB,Africa,2006,37.0
GNB,Africa,2007,153.0
GNB,Africa,2008,14323.0
GNB,Africa,2009,5.0
GNB,Africa,2012,3068.0
GNB,Africa,2013,969.0
GNB,Africa,2014,11.0
GNQ,Africa,2004,59.0
GNQ,Africa,2005,6391.0
GTM,Americas,2000,612.0
GTM,Americas,2001,13.0
GTM,Americas,2002,1.0
GTM,Americas,2003,1.0
HND,Americas,2000,8.0
HND,Americas,2001,1.0
HTI,Americas,2010,179379.0
HTI,Americas,2011,340311.0
HTI,Americas,2012,112076.0
HTI,Americas,2013,58809.0
HTI,Americas,2014,27753.0
HTI,Americas,2015,36045.0
HTI,Americas,2016,41421.0
IDN,Western Pacific,2001,561.0
IDN,Western Pacific,2005,1338.0
IDN,Western Pacific,2008,1007.0
IND,South-East Asia,2000,4053.0
IND,South-East Asia,2001,4081.0
IND,South-East Asia,2002,3455.0
IND,South-East Asia,2003,2893.0
IND,South-East Asia,2004,4695.0
IND,South-East Asia,2005,3155.0
IND,South-East Asia,2006,1939.0
IND,South-East Asia,2007,2635.0
IND,South-East Asia,2008,2680.0
IND,South-East Asia,2010,5155.0
IND,South-East Asia,2013,6008.0
IND,South-East Asia,2014,4031.0
IND,South-East Asia,2015,889.0
IND,South-East Asia,2016,841.0
IRL,Europe,2001,1.0
IRN,Eastern Mediterranean,2000,345.0
IRN,Eastern Mediterranean,2001,105.0
IRN,Eastern Mediterranean,2002,118.0
IRN,Eastern Mediterranean,2003,96.0
IRN,Eastern Mediterranean,2004,94.0
IRN,Eastern Mediterranean,2005,1133.0
IRN,Eastern Mediterranean,2007,19.0
IRN,Eastern Mediterranean,2008,72.0
IRN,Eastern Mediterranean,2011,1187.0
IRN,Eastern Mediterranean,2012,53.0
IRN,Eastern Mediterranean,2013,256.0
IRN,Eastern Mediterranean,2015,86.0
IRQ,Eastern Mediterranean,2000,532.0
IRQ,Eastern Mediterranean,2001,560.0
IRQ,Eastern Mediterranean,2002,718.0
IRQ,Eastern Mediterranean,2003,187.0
IRQ,Eastern Mediterranean,2004,35.0
IRQ,Eastern Mediterranean,2007,4697.0
IRQ,Eastern Mediterranean,2008,925.0
IRQ,Eastern Mediterranean,2009,6.0
IRQ,Eastern Mediterranean,2010,2.0
IRQ,Eastern Mediterranean,2012,4693.0
IRQ,Eastern Mediterranean,2013,1.0
IRQ,Eastern Mediterranean,2015,4965.0
ISR,Europe,2013,1.0
ITA,Europe,2006,1.0
ITA,Europe,2007,1.0
ITA,Europe,2013,1.0
JPN,Western Pacific,2000,34.0
JPN,Western Pacific,2001,11.0
JPN,Western Pacific,2002,27.0
JPN,Western Pacific,2003,16.0
JPN,Western Pacific,2004,66.0
JPN,Western Pacific,2005,43.0
JPN,Western Pacific,2006,34.0
JPN,Western Pacific,2011,12.0
JPN,Western Pacific,2012,3.0
JPN,Western Pacific,2013,8.0
JPN,Western Pacific,2014,5.0
JPN,Western Pacific,2015,7.0
JPN,Western Pacific,2016,10.0
KAZ,Europe,2001,1.0
KAZ,Europe,2008,1.0
KEN,Africa,2000,1157.0
KEN,Africa,2001,1001.0
KEN,Africa,2002,291.0
KEN,Africa,2004,870.0
KEN,Africa,2005,816.0
KEN,Africa,2006,870.0
KEN,Africa,2007,1206.0
KEN,Africa,2008,3091.0
KEN,Africa,2009,11425.0
KEN,Africa,2010,3188.0
KEN,Africa,2011,74.0
KEN,Africa,2014,35.0
KEN,Africa,2015,13291.0
KEN,Africa,2016,5866.0
KHM,Western Pacific,2004,57.0
KHM,Western Pacific,2009,39.0
