Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1952776,CHOLERA_0000000001,COUNTRY,COD,YEAR,AFR,Africa,,1987,,,,,,,,1150,,,,,2013-06-11T14:04:28+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
1959787,CHOLERA_0000000001,COUNTRY,KOR,YEAR,WPR,Western Pacific,,2011,,,,,,,,3,,,,,2013-06-11T14:04:28+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1960941,CHOLERA_0000000001,COUNTRY,RWA,YEAR,AFR,Africa,,1992,,,,,,,,503,,,,,2013-06-11T14:04:28+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
1971311,CHOLERA_0000000001,COUNTRY,BEN,YEAR,AFR,Africa,,1977,,,,,,,,2,,,,,2013-06-11T14:04:28+02:00,1977,1977-01-01T00:00:00+01:00,1977-12-31T00:00:00+01:00
1972907,CHOLERA_0000000001,COUNTRY,GTM,YEAR,AMR,Americas,,1999,,,,,,,,2077,,,,,2013-06-11T14:04:28+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
1976718,CHOLERA_0000000001,COUNTRY,VEN,YEAR,AMR,Americas,,1997,,,,,,,,2551,,,,,2013-06-11T14:04:28+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
1980329,CHOLERA_0000000001,COUNTRY,BDI,YEAR,AFR,Africa,,2002,,,,,,,,577,,,,,2013-06-11T14:04:28+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1984503,CHOLERA_0000000001,COUNTRY,JPN,YEAR,WPR,Western Pacific,,1984,,,,,,,,55,,,,,2013-06-11T14:04:28+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
1986899,CHOLERA_0000000001,COUNTRY,PAK,YEAR,EMR,Eastern Mediterranean,,1969,,,,,,,,717,,,,,2013-06-11T14:04:28+02:00,1969,1969-01-01T00:00:00+01:00,1969-12-31T00:00:00+01:00
1991023,CHOLERA_0000000001,COUNTRY,VNM,YEAR,WPR,Western Pacific,,2010,,,,,,,,606,,,,,2013-06-11T14:04:28+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2004917,CHOLERA_0000000001,COUNTRY,MYS,YEAR,WPR,Western Pacific,,2011,,,,,,,,586 ,,,,117 of 586  reported cases are imported.,2013-06-11T14:04:28+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
2009202,CHOLERA_0000000001,COUNTRY,RUS,YEAR,EUR,Europe,,1976,,,,,,,,1,,,,,2013-06-11T14:04:28+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
2017452,CHOLERA_0000000001,COUNTRY,TCD,YEAR,AFR,Africa,,1996,,,,,,,,7830,,,,,2013-06-11T14:04:28+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
2019126,CHOLERA_0000000001,COUNTRY,ISR,YEAR,EUR,Europe,,1987,,,,,,,,2,,,,,2013-06-11T14:04:28+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
2024459,CHOLERA_0000000001,COUNTRY,VNM,YEAR,WPR,Western Pacific,,1954,,,,,,,,3,,,,,2013-06-11T14:04:28+02:00,1954,1954-01-01T00:00:00+01:00,1954-12-31T00:00:00+01:00
2034979,CHOLERA_0000000001,COUNTRY,BRA,YEAR,AMR,Americas,,2001,,,,,,,,7,,,,,2013-06-11T14:04:28+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
2043367,CHOLERA_0000000001,COUNTRY,USA,YEAR,AMR,Americas,,2005,,,,,,,,12,,,,8 of 12 reported cases are imported.,2013-06-11T14:04:28+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
2049815,CHOLERA_0000000001,COUNTRY,JPN,YEAR,WPR,Western Pacific,,2013,,,,,,,,8,8.0,,,3 imported cases,2014-08-29T13:48:23+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2050454,CHOLERA_0000000001,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,,1986,,,,,,,,74,,,,,2013-06-11T14:04:28+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
2064651,CHOLERA_0000000001,COUNTRY,BGD,YEAR,SEAR,South-East Asia,,1995,,,,,,,,2297,,,,,2013-06-11T14:04:28+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
2072392,CHOLERA_0000000001,COUNTRY,THA,YEAR,SEAR,South-East Asia,,1964,,,,,,,,960,,,,,2013-06-11T14:04:28+02:00,1964,1964-01-01T00:00:00+01:00,1964-12-31T00:00:00+01:00
2087497,CHOLERA_0000000001,COUNTRY,KHM,YEAR,WPR,Western Pacific,,1956,,,,,,,,1,,,,,2013-06-11T14:04:28+02:00,1956,1956-01-01T00:00:00+01:00,1956-12-31T00:00:00+01:00
2087879,CHOLERA_0000000001,COUNTRY,TGO,YEAR,AFR,Africa,,1971,,,,,,,,335,,,,,2013-06-11T14:04:28+02:00,1971,1971-01-01T00:00:00+01:00,1971-12-31T00:00:00+01:00
2088455,CHOLERA_0000000001,COUNTRY,STP,YEAR,AFR,Africa,,2005,,,,,,,,1966,,,,,2013-06-11T14:04:28+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
